Contemporary Classics,Pisco Sour,20,ml,Simple Syrup
Contemporary Classics,Pisco Sour,1,piece,Raw Egg White
Contemporary Classics,Sea Breeze,40,ml,Vodka
Contemporary Classics,Sea Breeze,120,ml,Cranberry Juice
Contemporary Classics,Sea Breeze,30,ml,Grapefruit Juice
Contemporary Classics,Sex on the Beach,40,ml,Vodka
Contemporary Classics,Sex on the Beach,20,ml,Peach Schnapps
Contemporary Classics,Sex on the Beach,40,ml,Fresh Orange Juice
Contemporary Classics,Sex on the Beach,40,ml,Cranberry Juice
Contemporary Classics,Singapore Sling,30,ml,Gin
Contemporary Classics,Singapore Sling,15,ml,Cherry liqueur
Contemporary Classics,Singapore Sling,7.5,ml,Cointreau
Contemporary Classics,Singapore Sling,7.5,ml,DOM Bénédictine
Contemporary Classics,Singapore Sling,120,ml,Fresh Pineapple Juice
Contemporary Classics,Singapore Sling,15,ml,Fresh Lime Juice
Contemporary Classics,Singapore Sling,10,ml,Grenadine Syrup
Contemporary Classics,Singapore Sling,1,dash,Angostura bitters
Contemporary Classics,Tequila Sunrise,45,ml,Tequila
Contemporary Classics,Tequila Sunrise,90,ml,Fresh Orange Juice
Contemporary Classics,Tequila Sunrise,15,ml,Grenadine Syrup
Contemporary Classics,Vesper,45,ml,Gin
Contemporary Classics,Vesper,15,ml,Vodka
Contemporary Classics,Vesper,7.5,ml,Lillet Blanc
Contemporary Classics,Zombie,45,ml,Jamaican dark rum
Contemporary Classics,Zombie,45,ml,Gold Puerto Rican rum
Contemporary Classics,Zombie,30,ml,Demerara Rum
Contemporary Classics,Zombie,20,ml,Fresh lime juice
Contemporary Classics,Zombie,15,ml,Falernum
Contemporary Classics,Zombie,15,ml,Donn's Mix
Contemporary Classics,Zombie,1,teaspoon,Grenadine syrup
Contemporary Classics,Zombie,1,dash,Angostura bitters
Contemporary Classics,Zombie,6,drops,Pernod
New Era Drinks,Barracuda,45,ml,Gold Rum
New Era Drinks,Barracuda,15,ml,Galliano
New Era Drinks,Barracuda,60,ml,Fresh Pineapple Juice
New Era Drinks,Barracuda,1,dash,Fresh Lime Juice
New Era Drinks,Barracuda,1,top up,Prosecco
New Era Drinks,Bee's Knees,52.5,ml,Dry Gin
New Era Drinks,Bee's Knees,2,teaspoon,Honey Syrup
New Era Drinks,Bee's Knees,22.5,ml,Fresh Lemon Juice
New Era Drinks,Bee's Knees,22.5,ml,Fresh Orange Juice
New Era Drinks,Bramble,50,ml,Gin
New Era Drinks,Bramble,25,ml,Fresh Lemon Juice
New Era Drinks,Bramble,12.5,ml,Sugar Syrup
New Era Drinks,Bramble,15,ml,Crème de Mûre
New Era Drinks,Canchanchara,60,ml,Cuban Aguardiente
New Era Drinks,Canchanchara,15,ml,Fresh Lime Juice
New Era Drinks,Canchanchara,15,ml,Raw Honey
New Era Drinks,Canchanchara,50,ml,Water
New Era Drinks,Dark ‘n' stormy,60,ml,Goslings Rum
New Era Drinks,Dark ‘n' stormy,100,ml,Ginger Beer
New Era Drinks,Espresso Martini,50,ml,Vodka
New Era Drinks,Espresso Martini,30,ml,Kahlúa
New Era Drinks,Espresso Martini,10,ml,Sugar Syrup
New Era Drinks,Espresso Martini,1,shot,strong Espresso
New Era Drinks,Fernandito,50,ml,Fernet Branca
New Era Drinks,Fernandito,1,fill up,Cola
New Era Drinks,French Martini,45,ml,Vodka
New Era Drinks,French Martini,15,ml,Raspberry Liqueur
New Era Drinks,French Martini,15,ml,Fresh Pineapple Juice
New Era Drinks,Illegal,30,ml,Espadin Mezcal
New Era Drinks,Illegal,15,ml,Jamaica Overproof White Rum
New Era Drinks,Illegal,15,ml,Falernum
New Era Drinks,Illegal,1,bar spoon,Maraschino Luxardo
New Era Drinks,Illegal,22.5,ml,Fresh Lime Juice
New Era Drinks,Illegal,15,ml,Simple Syrup
New Era Drinks,Illegal,few,drops,Egg White
New Era Drinks,Lemon drop Martini,30,ml,Vodka Citron
New Era Drinks,Lemon drop Martini,20,ml,Triple Sec
New Era Drinks,Lemon drop Martini,15,ml,Fresh Lemon Juice
New Era Drinks,Naked and Famous,22.5,ml,Mezcal
New Era Drinks,Naked and Famous,22.5,ml,Yellow Chartreuse
New Era Drinks,Naked and Famous,22.5,ml,Aperol
New Era Drinks,Naked and Famous,22.5,ml,Fresh Lime Juice
New Era Drinks,New York Sour,60,ml,Rye Whiskey or Bourbon
New Era Drinks,New York Sour,22.5,ml,Simple syrup
New Era Drinks,New York Sour,30,ml,Fresh lemon juice
New Era Drinks,New York Sour,few,drops,Egg White
New Era Drinks,New York Sour,15,ml,Red wine
New Era Drinks,Old Cuban,6-8,piece,Mint Leaves
New Era Drinks,Old Cuban,45,ml,Aged Rum
New Era Drinks,Old Cuban,22.5,ml,Fresh Lime Juice
New Era Drinks,Old Cuban,30,ml,Simple Syrup
New Era Drinks,Old Cuban,2,dash,Angostura Bitters
New Era Drinks,Old Cuban,60,ml,Brut Champagne or Prosecco
New Era Drinks,Paloma,50,ml,100% Agave Tequila
New Era Drinks,Paloma,5,ml,Fresh lime
New Era Drinks,Paloma,1,pinch,Salt
New Era Drinks,Paloma,100,ml,Pink Grapefruit Soda
New Era Drinks,Paper Plane,30,ml,Bourbon Whiskey
New Era Drinks,Paper Plane,30,ml,Amaro Nonino
New Era Drinks,Paper Plane,30,ml,Aperol
New Era Drinks,Paper Plane,30,ml,Fresh Lemon Juice
New Era Drinks,Penicillin,60,ml,Blended Scotch Whisky
New Era Drinks,Penicillin,7.5,ml,Lagavulin 16 y Whisky
New Era Drinks,Penicillin,22.5,ml,Fresh Lemon Juice
New Era Drinks,Penicillin,22.5,ml,Honey Syrup
New Era Drinks,Penicillin,2-3,piece,quarter size Sliced Fresh Ginger
New Era Drinks,Russian Spring Punch,25,ml,Vodka
New Era Drinks,Russian Spring Punch,25,ml,Fresh Lemon Juice
New Era Drinks,Russian Spring Punch,15,ml,Crème de Cassis
New Era Drinks,Russian Spring Punch,10,ml,Sugar syrup
New Era Drinks,Russian Spring Punch,1,top up,Sparkling wine
New Era Drinks,Southside,60,ml,London Dry Gin
New Era Drinks,Southside,30,ml,Fresh Lemon Juice
New Era Drinks,Southside,15,ml,Simple Syrup
New Era Drinks,Southside,5-6,piece,Mint Leaves
New Era Drinks,Southside,few,drops,Egg White
New Era Drinks,Spicy Fifty,50,ml,Vodka Vanilla
New Era Drinks,Spicy Fifty,15,ml,Elderflower Cordial
New Era Drinks,Spicy Fifty,15,ml,Fresh Lime Juice
New Era Drinks,Spicy Fifty,10,ml,Monin Honey Syrup
New Era Drinks,Spicy Fifty,2,piece,thin Slices Red Chili Pepper
New Era Drinks,Spritz,90,ml,Prosecco
New Era Drinks,Spritz,60,ml,Aperol
New Era Drinks,Spritz,1,splash,Soda water
New Era Drinks,Suffering Bastard,30,ml,Cognac or Brandy
New Era Drinks,Suffering Bastard,30,ml,Gin
New Era Drinks,Suffering Bastard,15,ml,Fresh Lime Juice
New Era Drinks,Suffering Bastard,2,dash,Angostura Bitters
New Era Drinks,Suffering Bastard,1,top up,Ginger beer
New Era Drinks,Tipperary,50,ml,Irish Whiskey
New Era Drinks,Tipperary,25,ml,Sweet Red Vermouth
New Era Drinks,Tipperary,15,ml,Green Chartreuse
New Era Drinks,Tipperary,2,dash,Angostura Bitters
New Era Drinks,Tommy's Margarita,60,ml,Tequila Agave 100% Reposado
New Era Drinks,Tommy's Margarita,30,ml,Fresh Lime Juice
New Era Drinks,Tommy's Margarita,30,ml,Agave Syrup
New Era Drinks,Trinidad Sour,45,ml,Angostura Bitters
New Era Drinks,Trinidad Sour,30,ml,Orgeat Syrup
New Era Drinks,Trinidad Sour,22.5,ml,Fresh Lemon Juice
New Era Drinks,Trinidad Sour,15,ml,Rye Whisky
New Era Drinks,VE.N.TO,45,ml,White Smooth Grappa
New Era Drinks,VE.N.TO,22.5,ml,Fresh lemon Juice
New Era Drinks,VE.N.TO,15,ml,Honey mix
New Era Drinks,VE.N.TO,15,ml,Chamomile cordial
New Era Drinks,VE.N.TO,10,ml,Egg White
New Era Drinks,Yellow Bird,30,ml,White rum
New Era Drinks,Yellow Bird,15,ml,Galliano
New Era Drinks,Yellow Bird,15,ml,Triple Sec
New Era Drinks,Yellow Bird,15,ml,Fresh Lime Juice
The Unforgettables,Alexander,30,ml,Cognac
The Unforgettables,Alexander,30,ml,Crème de Cacao
The Unforgettables,Alexander,30,ml,Fresh Cream
The Unforgettables,Americano,30,ml,Bitter Campari
The Unforgettables,Americano,30,ml,Sweet Red Vermouth
The Unforgettables,Americano,1,splash,Soda Water
The Unforgettables,Angel Face,30,ml,Gin
The Unforgettables,Angel Face,30,ml,Apricot Brandy
The Unforgettables,Angel Face,30,ml,Calvados
The Unforgettables,Aviation,45,ml,Gin
The Unforgettables,Aviation,15,ml,Maraschino Luxardo
The Unforgettables,Aviation,15,ml,Fresh Lemon Juice
The Unforgettables,Aviation,1,bar spoon,Crème de Violette
The Unforgettables,Between the Sheets,30,ml,White Rum
The Unforgettables,Between the Sheets,30,ml,Cognac
The Unforgettables,Between the Sheets,30,ml,Triple Sec
The Unforgettables,Between the Sheets,20,ml,Fresh Lemon Juice
The Unforgettables,Boulevardier,45,ml,Bourbon or Rye Whiskey
The Unforgettables,Boulevardier,30,ml,Bitter Campari
The Unforgettables,Boulevardier,30,ml,Sweet Red Vermouth
The Unforgettables,Brandy Crusta,52.5,ml,Brandy
The Unforgettables,Brandy Crusta,7.5,ml,Maraschino Luxardo
The Unforgettables,Brandy Crusta,1,bar spoon,Curacao
The Unforgettables,Brandy Crusta,15,ml,Fresh Lemon Juice
The Unforgettables,Brandy Crusta,1,bar spoon,Simple Syrup
The Unforgettables,Brandy Crusta,2,dash,Aromatic Bitters
The Unforgettables,Casino,40,ml,Old Tom Gin
The Unforgettables,Casino,10,ml,Maraschino Luxardo
The Unforgettables,Casino,10,ml,Fresh Lemon Juice
The Unforgettables,Casino,2,dash,Orange Bitters
The Unforgettables,Clover Club,45,ml,Gin
The Unforgettables,Clover Club,15,ml,Raspberry Syrup
The Unforgettables,Clover Club,15,ml,Fresh Lemon Juice
The Unforgettables,Clover Club,few,drops,Egg White
The Unforgettables,Daiquiri,60,ml,White Cuban Ron
The Unforgettables,Daiquiri,20,ml,Fresh Lime Juice
The Unforgettables,Daiquiri,2,bar spoon,Superfine Sugar
The Unforgettables,Dry Martini,60,ml,Gin
The Unforgettables,Dry Martini,10,ml,Dry Vermouth
The Unforgettables,Gin Fizz,45,ml,Gin
The Unforgettables,Gin Fizz,30,ml,Fresh Lemon Juice
The Unforgettables,Gin Fizz,10,ml,Simple Syrup
The Unforgettables,Gin Fizz,1,splash,Soda Water
The Unforgettables,Hanky Panky,45,ml,London Dry Gin
The Unforgettables,Hanky Panky,45,ml,Sweet Red Vermouth
The Unforgettables,Hanky Panky,7.5,ml,Fernet Branca
The Unforgettables,John Collins,45,ml,Gin
The Unforgettables,John Collins,30,ml,Fresh Lemon Juice
The Unforgettables,John Collins,15,ml,Simple Syrup
The Unforgettables,John Collins,60,ml,Soda Water
The Unforgettables,Last word,22.5,ml,Gin
The Unforgettables,Last word,22.5,ml,Green Chartreuse
The Unforgettables,Last word,22.5,ml,Maraschino Luxardo
The Unforgettables,Last word,22.5,ml,Fresh Lime Juice
The Unforgettables,Manhattan,50,ml,Rye Whiskey
The Unforgettables,Manhattan,20,ml,Sweet Red Vermouth
The Unforgettables,Manhattan,1,dash,Angostura Bitters
The Unforgettables,Martinez,45,ml,London Dry Gin
The Unforgettables,Martinez,45,ml,Sweet Red Vermouth
The Unforgettables,Martinez,1,bar spoon,Maraschino Liqueur
The Unforgettables,Martinez,2,dash,Orange Bitters
The Unforgettables,Mary Pickford,45,ml,White Rum
The Unforgettables,Mary Pickford,45,ml,Fresh Pineapple Juice
The Unforgettables,Mary Pickford,7.5,ml,Maraschino Luxardo
The Unforgettables,Mary Pickford,5,ml,Grenadine Syrup
The Unforgettables,Monkey Gland,45,ml,Dry Gin
The Unforgettables,Monkey Gland,45,ml,Fresh Orange Juice
The Unforgettables,Monkey Gland,1,tablespoon,Absinthe
The Unforgettables,Monkey Gland,1,tablespoon,Grenadine Syrup
The Unforgettables,Negroni,30,ml,Gin
The Unforgettables,Negroni,30,ml,Bitter Campari
The Unforgettables,Negroni,30,ml,Sweet Red Vermouth
The Unforgettables,Old Fashioned,45,ml,Bourbon or Rye Whiskey
The Unforgettables,Old Fashioned,1,piece,Sugar Cube
The Unforgettables,Old Fashioned,few,dash,Angostura Bitters
The Unforgettables,Old Fashioned,few,dash,Plain Water
The Unforgettables,Paradise,30,ml,Gin
The Unforgettables,Paradise,20,ml,Apricot Brandy
The Unforgettables,Paradise,15,ml,Fresh Orange Juice
The Unforgettables,Planter's Punch,45,ml,Jamaican Rum
The Unforgettables,Planter's Punch,15,ml,Lime Juice
The Unforgettables,Planter's Punch,30,ml,Sugar Cane Juice
The Unforgettables,Porto Flip,15,ml,Brandy
The Unforgettables,Porto Flip,45,ml,Red Tawny Port Wine
The Unforgettables,Porto Flip,10,ml,Egg Yolk
The Unforgettables,Ramos Fizz,45,ml,Gin
The Unforgettables,Ramos Fizz,15,ml,Fresh Lime Juice
The Unforgettables,Ramos Fizz,15,ml,Fresh Lemon Juice
The Unforgettables,Ramos Fizz,30,ml,Sugar Syrup
The Unforgettables,Ramos Fizz,60,ml,Cream
The Unforgettables,Ramos Fizz,30,ml,Egg white
The Unforgettables,Ramos Fizz,3,dash,Orange Flower Water
The Unforgettables,Ramos Fizz,2,drops,Vanilla Extract
The Unforgettables,Ramos Fizz,1,top up,Soda Water
The Unforgettables,Rusty Nail,45,ml,Scotch Whisky
The Unforgettables,Rusty Nail,25,ml,Drambuie
The Unforgettables,Sazerac,50,ml,Cognac
The Unforgettables,Sazerac,10,ml,Absinthe
The Unforgettables,Sazerac,1,piece,Sugar Cube
The Unforgettables,Sazerac,2,dash,Peychaud's Bitters
The Unforgettables,Sidecar,50,ml,Cognac
The Unforgettables,Sidecar,20,ml,Triple Sec
The Unforgettables,Sidecar,20,ml,Fresh Lemon Juice
The Unforgettables,Stinger,50,ml,Cognac
The Unforgettables,Stinger,20,ml,White Crème de Menthe
The Unforgettables,Tuxedo,30,ml,Old Tom Gin
The Unforgettables,Tuxedo,30,ml,Dry Vermouth
The Unforgettables,Tuxedo,1/2,bar spoon,Maraschino Luxardo
The Unforgettables,Tuxedo,1/4,bar spoon,Absinthe
The Unforgettables,Tuxedo,3,dash,Orange Bitters
The Unforgettables,Vieux Carrè,30,ml,Rye Whiskey
The Unforgettables,Vieux Carrè,30,ml,Cognac
The Unforgettables,Vieux Carrè,30,ml,Sweet Vermouth
The Unforgettables,Vieux Carrè,1,bar spoon,Bénédictine
The Unforgettables,Vieux Carrè,2,dash,Peychaud's Bitters
The Unforgettables,Whiskey Sour,45,ml,Bourbon Whiskey
The Unforgettables,Whiskey Sour,25,ml,Fresh Lemon Juice
The Unforgettables,Whiskey Sour,20,ml,Sugar Syrup
The Unforgettables,Whiskey Sour,20,ml,Egg White
The Unforgettables,White Lady,40,ml,Gin
The Unforgettables,White Lady,30,ml,Triple Sec
The Unforgettables,White Lady,20,ml,Fresh Lemon Juice
,,,,
Contemporary Classics,Bellini,100,ml,Prosecco
Contemporary Classics,Bellini,50,ml,White Peach Puree
Contemporary Classics,Black Russian,50,ml,Vodka
Contemporary Classics,Black Russian,20,ml,Coffee Liqueur
Contemporary Classics,Bloody Mary,45,ml,Vodka
Contemporary Classics,Bloody Mary,90,ml,Tomato Juice
Contemporary Classics,Bloody Mary,15,ml,Fresh Lemon Juice
Contemporary Classics,Bloody Mary,2,dash,Worcestershire Sauce
Contemporary Classics,Bloody Mary,1,dash,Tabasco
Contemporary Classics,Bloody Mary,1,dash,Celery Salt
Contemporary Classics,Bloody Mary,1,dash,Pepper
Contemporary Classics,Caipirinha,60,ml,Cachaça
Contemporary Classics,Caipirinha,1,piece,Lime cut into small wedges
Contemporary Classics,Caipirinha,4,teaspoon,White Cane Sugar
Contemporary Classics,Champagne Cocktail,90,ml,Chilled Champagne
Contemporary Classics,Champagne Cocktail,10,ml,Cognac
Contemporary Classics,Champagne Cocktail,2,dash,Angostura bitters
Contemporary Classics,Champagne Cocktail,few,drops,Grand Marnier
Contemporary Classics,Champagne Cocktail,1,piece,Sugar Cube
Contemporary Classics,Corpse Reviver #2,30,ml,Gin
Contemporary Classics,Corpse Reviver #2,30,ml,Cointreau
Contemporary Classics,Corpse Reviver #2,30,ml,Lillet Blanc
Contemporary Classics,Corpse Reviver #2,30,ml,Fresh Lemon Juice
Contemporary Classics,Corpse Reviver #2,1,dash,Absinthe
Contemporary Classics,Cosmopolitan,40,ml,Vodka Citron
Contemporary Classics,Cosmopolitan,15,ml,Cointreau
Contemporary Classics,Cosmopolitan,15,ml,Fresh Lime Juice
Contemporary Classics,Cosmopolitan,30,ml,Cranberry Juice
Contemporary Classics,Cuba Libre,50,ml,White Rum
Contemporary Classics,Cuba Libre,120,ml,Coca Cola
Contemporary Classics,Cuba Libre,10,ml,Fresh Lime Juice
Contemporary Classics,French 75,30,ml,Gin
Contemporary Classics,French 75,15,ml,Fresh Lemon Juice
Contemporary Classics,French 75,15,ml,Sugar Syrup
Contemporary Classics,French 75,60,ml,Champagne
Contemporary Classics,French Connection,35,ml,Cognac
Contemporary Classics,French Connection,35,ml,Amaretto
Contemporary Classics,Golden Dream,20,ml,Galliano
Contemporary Classics,Golden Dream,20,ml,Triple Sec
Contemporary Classics,Golden Dream,20,ml,Fresh Orange Juice
Contemporary Classics,Golden Dream,10,ml,Fresh Cream
Contemporary Classics,Grasshopper,20,ml,Crème de Cacao
Contemporary Classics,Grasshopper,20,ml,Crème de Menthe
Contemporary Classics,Grasshopper,20,ml,Fresh Cream
Contemporary Classics,Hemingway Special,60,ml,Rum
Contemporary Classics,Hemingway Special,40,ml,Grapefruit Juice
Contemporary Classics,Hemingway Special,15,ml,Maraschino Luxardo
Contemporary Classics,Hemingway Special,15,ml,Fresh Lime
Contemporary Classics,Horse's Neck,40,ml,Cognac
Contemporary Classics,Horse's Neck,120,ml,Ginger Ale
Contemporary Classics,Horse's Neck,1,dash,Angostura Bitters
Contemporary Classics,Irish Coffee,50,ml,Irish Whiskey
Contemporary Classics,Irish Coffee,120,ml,Hot coffee
Contemporary Classics,Irish Coffee,50,ml,Fresh cream
Contemporary Classics,Irish Coffee,1,teaspoon,Sugar
Contemporary Classics,KIR,90,ml,Dry White Wine
Contemporary Classics,KIR,10,ml,Crème de Cassis
Contemporary Classics,Long Island Ice Tea,15,ml,Vodka
Contemporary Classics,Long Island Ice Tea,15,ml,Tequila
Contemporary Classics,Long Island Ice Tea,15,ml,White rum
Contemporary Classics,Long Island Ice Tea,15,ml,Gin
Contemporary Classics,Long Island Ice Tea,15,ml,Cointreau
Contemporary Classics,Long Island Ice Tea,30,ml,Lemon juice
Contemporary Classics,Long Island Ice Tea,20,ml,Simple syrup
Contemporary Classics,Long Island Ice Tea,1,top up,Cola
Contemporary Classics,Mai-Tai,30,ml,Amber Jamaican Rum
Contemporary Classics,Mai-Tai,30,ml,Martinique Molasses Rhum
Contemporary Classics,Mai-Tai,15,ml,Orange Curacao
Contemporary Classics,Mai-Tai,15,ml,Orgeat Syrup
Contemporary Classics,Mai-Tai,30,ml,Fresh Lime Juice
Contemporary Classics,Mai-Tai,7.5,ml,Simple Syrup
Contemporary Classics,Margarita,50,ml,Tequila 100% Agave
Contemporary Classics,Margarita,20,ml,Triple Sec
Contemporary Classics,Margarita,15,ml,Freshly Squeezed Lime Juice
Contemporary Classics,Mimosa,75,ml,Fresh orange juice
Contemporary Classics,Mimosa,75,ml,Prosecco
Contemporary Classics,Mint Julep,60,ml,Bourbon Whiskey
Contemporary Classics,Mint Julep,4,piece,fresh Mint sprigs
Contemporary Classics,Mint Julep,1,teaspoon,Powdered Sugar
Contemporary Classics,Mint Julep,2,teaspoon,Water
Contemporary Classics,Mojito,45,ml,White Cuban Ron
Contemporary Classics,Mojito,20,ml,Fresh Lime Juice
Contemporary Classics,Mojito,6,piece,Mint Sprigs
Contemporary Classics,Mojito,2,teaspoon,White Cane Sugar
Contemporary Classics,Mojito,1,top up,Soda Water
Contemporary Classics,Moscow Mule,45,ml,Smirnoff Vodka
Contemporary Classics,Moscow Mule,120,ml,Ginger Beer
Contemporary Classics,Moscow Mule,10,ml,Fresh lime juice
Contemporary Classics,Pina Colada,50,ml,White Rum
Contemporary Classics,Pina Colada,30,ml,Coconut Cream
Contemporary Classics,Pina Colada,50,ml,Fresh Pineapple Juice
Contemporary Classics,Pisco Sour,60,ml,Pisco
Contemporary Classics,Pisco Sour,30,ml,Fresh Lemon Juice
Contemporary Classics,Pisco Sour,20,ml,Simple Syrup
Contemporary Classics,Pisco Sour,1,piece,Raw Egg White
Contemporary Classics,Sea Breeze,40,ml,Vodka
Contemporary Classics,Sea Breeze,120,ml,Cranberry Juice
Contemporary Classics,Sea Breeze,30,ml,Grapefruit Juice
Contemporary Classics,Sex on the Beach,40,ml,Vodka
Contemporary Classics,Sex on the Beach,20,ml,Peach Schnapps
Contemporary Classics,Sex on the Beach,40,ml,Fresh Orange Juice
Contemporary Classics,Sex on the Beach,40,ml,Cranberry Juice
Contemporary Classics,Singapore Sling,30,ml,Gin
Contemporary Classics,Singapore Sling,15,ml,Cherry liqueur
Contemporary Classics,Singapore Sling,7.5,ml,Cointreau
Contemporary Classics,Singapore Sling,7.5,ml,DOM Bénédictine
Contemporary Classics,Singapore Sling,120,ml,Fresh Pineapple Juice
Contemporary Classics,Singapore Sling,15,ml,Fresh Lime Juice
Contemporary Classics,Singapore Sling,10,ml,Grenadine Syrup
Contemporary Classics,Singapore Sling,1,dash,Angostura bitters
Contemporary Classics,Tequila Sunrise,45,ml,Tequila
Contemporary Classics,Tequila Sunrise,90,ml,Fresh Orange Juice
